41,Keinginan,Ingin Benda,K. Benda + ga hoshii desu,Ingin (benda),Menyatakan keinginan memiliki sesuatu.,わたしは ねこが ほしいです,Saya ingin kucing.
42,Keinginan,Ingin Melakukan,V-masu + tai desu,Ingin (melakukan),Menyatakan keinginan melakukan aktivitas.,ステーキが 食べたいです,Ingin makan steak.
43,Kata Kerja,Sedang Berlangsung / Keadaan,V-te imasu,Sedang... / Dalam keadaan...,Menyatakan aksi yang sedang terjadi atau status (seperti menikah/tinggal).,今 ピアノを ひいて います,Sekarang sedang bermain piano.
44,Kata Kerja,Permintaan,V-te kudasai,Tolong...,Meminta seseorang melakukan sesuatu.,ペンを 貸して ください,Tolong pinjamkan pulpen.
45,Kata Kerja,Larangan (Permintaan Negatif),V-naide kudasai,Tolong jangan...,Meminta seseorang tidak melakukan sesuatu.,ここで 写真を 撮らないで ください,Tolong jangan ambil foto di sini.
46,Memberi Menerima,Moraimasu,(Ni/Kara) Moraimasu,Menerima dari...,Subjek menerima barang.,父から 時計を もらいました,Menerima jam dari Ayah.
47,Memberi Menerima,Agemasu,(Ni) Agemasu,Memberi kepada...,Subjek memberi barang (bukan ke saya).,友だちに チョコレートを あげます,Memberi cokelat kepada teman.
48,Memberi Menerima,Kuremasu,(Ga) Kuremasu,Memberi (kepada saya),Orang lain memberi ke pembicara.,友だちが チョコレートを くれました,Teman memberi saya cokelat.
49,Ajakan,Mashou,~mashou,Ayo...,Mengajak melakukan sesuatu.,歩きましょう,Ayo berjalan kaki.
50,Ajakan,Mashou ka,~mashou ka,Bisakah/Maukah/Bagaimana kalau saya...?,Menawarkan bantuan atau mengajak.,手伝いましょうか,Mau saya bantu?
51,Ajakan,Masen ka,~masen ka,Maukah tidak...? (Ajakan sopan),Mengajak dengan sopan.,行きませんか,Maukah pergi (bersama)?
52,Anak Kalimat,Modifikasi Kata Benda,Kalimat (Bentuk Biasa) + Kata Benda,Yang...,Menerangkan kata benda dengan kalimat.,父が 働いている 会社,Perusahaan tempat ayah bekerja.
53,Penghubung Kalimat,Sebab Akibat,~kara / ~node,Karena...,Alasan diletakkan sebelum 'kara'.,暑いから、窓を 開けましょう,Karena panas, ayo buka jendela.
54,Penghubung Kalimat,Tapi,~ga / ~kedo,Tetapi...,Menghubungkan dua kalimat bertentangan.,難しいですが、おもしろいです,Sulit, tapi menarik.
55,Kata Keterangan,Tingkat (Degree),Totemo / Amari / Zenzen,Sangat / Tidak begitu / Sama sekali tidak,Amari dan Zenzen diikuti bentuk negatif.,日本語が とても 上手ですね,Bahasa Jepangnya sangat pandai ya.
56,Kata Keterangan,Frekuensi,Itsumo / Tokidoki / Yoku,Selalu / Kadang-kadang / Sering,,この 店は いつも こんで います,Toko ini selalu penuh.
57,Kata Keterangan,Waktu,Mou / Mada,Sudah / Belum,,もう 食べましたか,Apakah sudah makan?
58,Perubahan,Adverbia (Sifat + Kerja),Sifat-i (~ku) / Sifat-na (~ni) + V,Melakukan dengan (sifat),Mengubah kata sifat menjadi kata keterangan.,野菜を 小さく 切って ください,Tolong potong sayurnya (menjadi) kecil-kecil.
59,Perubahan,Menjadi (Narimasu),~ku / ~ni narimasu,Menjadi...,Perubahan keadaan.,天気が よく なりました,Cuaca menjadi bagus.
60,Keputusan,Membuat/Memilih (Shimasu),~ku / ~ni shimasu,Membuat jadi... / Memilih...,Memutuskan pilihan atau mengubah kondisi.,ラーメンに します,Saya pilih ramen (saat pesan makan).
61,Pola Kalimat,Toki (Waktu),~toki,Saat / Ketika...,Menyatakan waktu kejadian.,本を 読む とき、メガネを かけます,Saat membaca buku, saya memakai kacamata.
62,Pola Kalimat,Maeni (Sebelum),V-kamus / N-no + maeni,Sebelum...,Urutan waktu sebelum aksi.,寝る 前に、歯を 磨きます,Sebelum tidur, menggosok gigi.
63,Pola Kalimat,Ato de (Sesudah),V-ta / N-no + ato de,Setelah...,Urutan waktu setelah aksi.,勉強の あとで、ゲームを します,Setelah belajar, bermain game.
64,Tujuan,Pergi untuk...,V-masu (buang masu) + ni ikimasu,Pergi untuk (melakukan),Menyatakan tujuan pergerakan.,映画を 見に 行きます,Pergi untuk menonton film.
65,Perbandingan,Lebih dari,A wa B yori ~ desu,A lebih ~ daripada B,,父は 母より 料理が 上手です,Ayah lebih jago masak daripada Ibu.
66,Perbandingan,Yang mana (Pilihan),A to B to dochira ga ~ desu ka,Antara A dan B, mana yang lebih ~?,,犬と 猫と どちらが 好きですか,Antara anjing dan kucing, mana yang lebih suka?
67,Perbandingan,Paling (Superlatif),~ ga ichiban ~ desu,Yang paling ~,,富士山が 日本で 一番 高い山です,Gunung Fuji adalah gunung paling tinggi di Jepang.
68,Pola Kalimat,Tari-tari (Representasi),~tari ~tari shimasu,Melakukan A, melakukan B, dll,Menyebutkan beberapa kegiatan acak.,本を 読んだり、テレビを 見たり します,Membaca buku, menonton TV, dll.
69,Nominalisasi,Membendakan Kata Kerja,V-kamus + koto / no,Hal (melakukan V),Mengubah kata kerja menjadi kata benda agar bisa jadi subjek/objek.,私の 趣味は 映画を 見る ことです,Hobi saya adalah menonton film.
70,Potensial,Bisa (Benda),N + ga dekimasu,Bisa (kata benda),,スキーが できます,Bisa ski.
71,Potensial,Bisa (Kerja),V-kamus + koto ga dekimasu,Bisa melakukan (kata kerja),,漢字を 読む ことが できます,Bisa membaca Kanji.
72,Potensial,Kata Kerja Potensial,V-eru / rareru,Bisa (Konjugasi Kata Kerja),Perubahan bentuk kata kerja langsung.,漢字が 少し 読めます,Bisa membaca sedikit Kanji.
